dropped_dimension,departure_rate,spearman_rho,null_rho_mean,null_rho_lo95,null_rho_hi95,rho_above_null_hi95,mad_vs_full,rank_changes,rank_preserved
symmetry,0.4009259259259259,0.9878787878787878,-0.004872727272727272,-0.6363636363636362,0.6363636363636362,True,0.4009259259259258,2,False
sensory_organs,0.7901851851851851,0.9757575757575757,-0.004949090909090908,-0.6484848484848483,0.6484848484848483,True,0.7901851851851851,4,False
locomotion,0.5818518518518518,0.9757575757575757,-0.005260606060606058,-0.6484848484848483,0.6363636363636362,True,0.5818518518518518,4,False
body_plan,0.6192592592592592,0.9878787878787878,-0.0047333333333333324,-0.6363636363636362,0.6484848484848483,True,0.6192592592592593,2,False
skin_covering,0.6059259259259259,0.9636363636363635,-0.0053818181818181795,-0.6363636363636362,0.6363636363636362,True,0.605925925925926,3,False
reproduction,0.35055555555555556,0.9878787878787878,-0.005412121212121212,-0.6484848484848483,0.6484848484848483,True,0.3505555555555554,2,False
metabolism,0.49925925925925924,0.9515151515151514,-0.0054242424242424234,-0.6363636363636362,0.6484848484848483,True,0.4992592592592591,5,False
communication,0.3835185185185185,0.9636363636363635,-0.005603636363636364,-0.6484848484848483,0.6363636363636362,True,0.3835185185185185,6,False
habitat,0.16092592592592592,0.9999999999999999,-0.005069090909090908,-0.6484848484848483,0.6484848484848483,True,0.16092592592592592,0,True
cognition,0.23074074074074072,0.9878787878787878,-0.004872727272727272,-0.6363636363636362,0.6363636363636362,True,0.23074074074074064,2,False
