k,n_subsets,best_rho,best_tau,min_mad,n_rho_above_thresh,n_tau_above_thresh
1,10,0.8909090909090909,0.7333333333333333,3.832962962962963,0,0
2,45,0.9757575757575757,0.911111111111111,3.213703703703704,5,2
3,120,0.9999999999999999,0.9999999999999999,2.6077777777777778,40,27
4,210,0.9878787878787878,0.9555555555555554,2.025925925925926,98,73
5,252,0.9999999999999999,0.9999999999999999,1.5266666666666666,152,123
6,210,0.9999999999999999,0.9999999999999999,1.1257407407407407,145,130
7,120,0.9999999999999999,0.9999999999999999,0.7422222222222222,93,87
8,45,0.9999999999999999,0.9999999999999999,0.3916666666666665,41,38
9,10,0.9999999999999999,0.9999999999999999,0.16092592592592592,10,10
10,1,0.9999999999999999,0.9999999999999999,0.0,1,1
