min_k_rho_null,min_k_tau_null
11,11
11,11
11,11
11,11
11,11
11,11
11,11
4,11
11,11
11,11
4,11
6,11
6,6
11,11
11,11
3,11
4,11
11,11
4,11
11,11
11,11
11,11
11,11
11,11
11,11
3,11
7,11
7,7
11,11
11,11
11,11
11,11
3,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
5,5
11,11
11,11
11,11
5,5
3,3
11,11
4,11
11,11
11,11
6,11
11,11
2,11
11,11
11,11
11,11
11,11
11,11
2,11
11,11
11,11
4,11
11,11
11,11
11,11
11,11
11,11
11,11
5,11
11,11
11,11
5,5
3,11
6,11
4,4
11,11
11,11
7,11
11,11
5,5
11,11
4,11
11,11
11,11
11,11
11,11
11,11
7,11
11,11
5,11
11,11
11,11
11,11
11,11
9,9
11,11
11,11
11,11
3,11
11,11
11,11
11,11
11,11
2,11
11,11
11,11
11,11
11,11
11,11
11,11
6,11
11,11
5,5
8,11
4,4
4,11
11,11
4,4
11,11
5,5
11,11
11,11
5,5
4,11
11,11
11,11
4,11
4,11
6,6
4,4
11,11
11,11
5,5
11,11
4,4
11,11
11,11
6,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
5,11
11,11
11,11
11,11
11,11
3,11
5,11
3,11
11,11
11,11
11,11
11,11
11,11
6,11
7,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
6,11
11,11
11,11
11,11
11,11
11,11
11,11
4,4
11,11
11,11
3,3
11,11
5,11
4,4
11,11
11,11
3,11
11,11
3,3
11,11
11,11
11,11
11,11
11,11
5,5
11,11
11,11
3,3
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
2,11
11,11
1,1
11,11
11,11
11,11
4,4
11,11
7,11
5,5
11,11
6,6
4,11
11,11
11,11
11,11
6,11
11,11
5,5
11,11
11,11
11,11
5,11
2,2
4,4
11,11
11,11
6,6
11,11
8,8
3,11
11,11
6,6
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
4,11
6,11
2,2
11,11
11,11
5,5
11,11
7,11
8,11
11,11
11,11
4,11
3,3
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
7,7
11,11
11,11
11,11
11,11
6,11
11,11
4,4
11,11
2,11
4,11
6,11
11,11
5,5
11,11
11,11
11,11
4,4
11,11
11,11
11,11
11,11
11,11
11,11
3,11
8,11
11,11
11,11
4,6
8,11
6,11
11,11
11,11
4,4
11,11
5,11
11,11
6,8
11,11
11,11
11,11
4,5
11,11
11,11
5,11
5,5
4,4
3,5
3,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
5,11
6,6
5,11
3,11
5,5
6,11
11,11
3,11
3,11
4,4
11,11
3,3
11,11
11,11
11,11
11,11
11,11
11,11
2,11
6,11
4,4
11,11
3,3
4,6
4,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
4,4
11,11
11,11
11,11
5,5
11,11
11,11
11,11
11,11
11,11
5,11
11,11
11,11
11,11
3,6
11,11
11,11
11,11
5,5
11,11
11,11
11,11
11,11
2,11
11,11
5,5
6,6
11,11
11,11
11,11
8,11
11,11
5,5
11,11
11,11
7,7
4,4
8,11
11,11
11,11
11,11
11,11
11,11
11,11
2,5
11,11
6,11
11,11
11,11
4,11
4,11
5,11
11,11
4,11
7,11
11,11
5,5
11,11
11,11
11,11
3,3
11,11
6,11
11,11
5,5
11,11
11,11
11,11
11,11
11,11
11,11
6,11
11,11
7,7
7,11
11,11
4,4
8,8
4,4
11,11
11,11
11,11
11,11
11,11
11,11
11,11
3,11
11,11
11,11
11,11
11,11
11,11
6,6
6,6
4,11
11,11
6,6
5,5
5,11
4,11
7,11
11,11
4,11
5,11
3,3
11,11
6,6
6,6
4,4
11,11
11,11
11,11
11,11
2,2
4,4
11,11
11,11
2,11
11,11
4,4
4,11
5,11
11,11
8,11
11,11
11,11
11,11
11,11
11,11
4,11
11,11
11,11
11,11
4,4
11,7
11,11
5,5
5,11
11,11
4,4
11,11
3,11
7,7
6,6
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
5,11
11,11
11,11
3,3
11,11
7,7
11,11
3,3
11,11
11,11
5,11
11,11
4,4
11,11
11,11
5,11
11,11
5,11
11,11
11,11
6,11
11,11
11,11
11,11
11,11
3,3
5,11
6,11
11,11
11,11
11,11
4,4
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
2,11
11,11
11,11
2,11
11,11
5,5
5,11
4,11
7,11
11,11
11,11
11,11
11,11
8,11
11,11
11,11
6,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
4,11
3,11
6,11
3,11
11,11
7,11
11,11
11,11
11,11
11,11
11,11
7,11
11,11
7,7
11,11
11,11
6,11
11,11
11,11
11,11
7,7
11,11
11,11
11,11
11,11
6,11
11,11
11,11
11,11
6,11
5,11
11,11
3,11
11,11
6,6
11,11
11,11
8,11
5,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
5,5
11,11
11,11
5,11
7,11
3,3
11,11
4,7
3,5
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
4,11
11,11
11,11
11,11
4,11
11,11
11,11
11,11
11,11
11,11
11,11
6,6
11,11
11,11
11,11
11,11
11,11
4,4
11,11
11,11
11,11
4,11
11,11
11,11
11,11
11,11
11,11
4,4
6,6
7,11
11,11
11,11
11,11
7,7
11,11
5,11
11,11
11,11
11,11
11,11
11,11
11,11
2,6
11,11
11,11
