pair_a,pair_b,rho_obs,mad,null_mean,null_lo95,null_hi95,p_value,n_models,rho_above_stable_bar,mad_below_stable_bar,both_bars_pass
baseline,baseline,1.0,0.0,,,,,10.0,False,False,False
baseline,baseline_para_a,0.8909090909090909,2.5244444444444447,-0.00652121212121212,-0.6484848484848483,0.6363636363636362,0.0016,10.0,False,False,False
baseline,baseline_para_b,0.6322217654272672,1.3711111111111112,-0.004003665910676906,-0.6504589317376691,0.6443798763008685,0.0586,10.0,False,False,False
baseline,baseline_para_c,0.8909090909090909,1.3944444444444444,0.0010884848484848495,-0.6242424242424242,0.6363636363636362,0.001,10.0,False,False,False
baseline,baseline_para_d,0.8545454545454544,1.2122222222222225,0.0003127272727272736,-0.6363636363636362,0.6484848484848483,0.0029,10.0,False,False,False
baseline,baseline_para_e,0.8666666666666665,1.0977777777777775,-0.0001006060606060604,-0.6484848484848483,0.6242424242424242,0.002,10.0,False,False,False
baseline_para_a,baseline,0.8909090909090909,2.5244444444444447,0.004763636363636363,-0.6242424242424242,0.6484848484848483,0.0017,10.0,False,False,False
baseline_para_a,baseline_para_a,1.0,0.0,,,,,10.0,False,False,False
baseline_para_a,baseline_para_b,0.8145934285312865,1.5,0.0029173387041206305,-0.6443798763008685,0.6322217654272672,0.007,10.0,False,False,False
baseline_para_a,baseline_para_c,0.9030303030303028,1.1833333333333336,0.005347878787878787,-0.6363636363636362,0.6484848484848483,0.0011,10.0,True,False,False
baseline_para_a,baseline_para_d,0.9272727272727272,1.4966666666666668,0.0022545454545454527,-0.6363636363636362,0.6484848484848483,0.0001,10.0,True,False,False
baseline_para_a,baseline_para_e,0.8545454545454544,1.7733333333333334,-0.003465454545454545,-0.6484848484848483,0.6484848484848483,0.0031,10.0,False,False,False
baseline_para_b,baseline,0.6322217654272672,1.3711111111111112,0.0018042636536424314,-0.6322217654272672,0.6322217654272672,0.0515,10.0,False,False,False
baseline_para_b,baseline_para_a,0.8145934285312865,1.5,-0.004175095273994684,-0.6322217654272672,0.6261427099904665,0.005,10.0,False,False,False
baseline_para_b,baseline_para_b,1.0,0.0,,,,,10.0,False,False,False
baseline_para_b,baseline_para_c,0.6322217654272672,0.7099999999999997,-0.0014826816210356765,-0.6504589317376691,0.6504589317376691,0.0586,10.0,False,True,False
baseline_para_b,baseline_para_d,0.8632258720256917,1.0299999999999998,-0.0058024584144262155,-0.6504589317376691,0.6322217654272672,0.0023,10.0,False,False,False
baseline_para_b,baseline_para_e,0.8875420937728943,0.6866666666666668,0.002597580388144916,-0.6443798763008685,0.6322217654272672,0.0012,10.0,False,True,False
baseline_para_c,baseline,0.8909090909090909,1.3944444444444444,0.0026509090909090922,-0.6484848484848483,0.6484848484848483,0.0019,10.0,False,False,False
baseline_para_c,baseline_para_a,0.9030303030303028,1.1833333333333336,-0.003246060606060606,-0.6363636363636362,0.6363636363636362,0.0008,10.0,True,False,False
baseline_para_c,baseline_para_b,0.6322217654272672,0.7099999999999997,0.0006358691986893483,-0.6322217654272672,0.6443798763008685,0.0538,10.0,False,True,False
baseline_para_c,baseline_para_c,1.0,0.0,,,,,10.0,False,False,False
baseline_para_c,baseline_para_d,0.8909090909090909,0.8066666666666669,4.969696969697015e-05,-0.6363636363636362,0.6363636363636362,0.0014,10.0,False,True,False
baseline_para_c,baseline_para_e,0.7818181818181817,0.8833333333333332,-0.0003684848484848502,-0.6363636363636362,0.6484848484848483,0.0106,10.0,False,True,False
baseline_para_d,baseline,0.8545454545454544,1.2122222222222225,-0.0036654545454545455,-0.6363636363636362,0.6363636363636362,0.0024,10.0,False,False,False
baseline_para_d,baseline_para_a,0.9272727272727272,1.4966666666666668,0.0012460606060606062,-0.6366666666666663,0.6484848484848483,0.0005,10.0,True,False,False
baseline_para_d,baseline_para_b,0.8632258720256917,1.0299999999999998,-0.0015756911692187277,-0.6322217654272672,0.6383008208640678,0.0023,10.0,False,False,False
baseline_para_d,baseline_para_c,0.8909090909090909,0.8066666666666669,-0.00205090909090909,-0.6363636363636362,0.6363636363636362,0.0011,10.0,False,True,False
baseline_para_d,baseline_para_d,1.0,0.0,,,,,10.0,False,False,False
baseline_para_d,baseline_para_e,0.9151515151515152,0.6300000000000001,-0.0012060606060606057,-0.6363636363636362,0.6363636363636362,0.0009,10.0,True,True,True
baseline_para_e,baseline,0.8666666666666665,1.0977777777777775,-0.0005551515151515157,-0.6363636363636362,0.6363636363636362,0.0024,10.0,False,False,False
baseline_para_e,baseline_para_a,0.8545454545454544,1.7733333333333334,-0.001008484848484849,-0.6484848484848483,0.6363636363636362,0.0032,10.0,False,False,False
baseline_para_e,baseline_para_b,0.8875420937728943,0.6866666666666668,0.0008145934285312885,-0.6322217654272672,0.6384527972499856,0.0014,10.0,False,True,False
baseline_para_e,baseline_para_c,0.7818181818181817,0.8833333333333332,-0.001653333333333333,-0.6484848484848483,0.6363636363636362,0.0093,10.0,False,True,False
baseline_para_e,baseline_para_d,0.9151515151515152,0.6300000000000001,0.003316363636363635,-0.6363636363636362,0.6484848484848483,0.0006,10.0,True,True,True
baseline_para_e,baseline_para_e,1.0,0.0,,,,,10.0,False,False,False
