judge_model,subject_model,prompt_variant,success,parse_error,api_error,n_generations,success_rate,parse_error_rate,api_error_rate
anthropic/claude-opus-4.6,anthropic/claude-opus-4.7,baseline,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,anthropic/claude-opus-4.7,constrained_ammonia,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,anthropic/claude-opus-4.7,constrained_high_gravity,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,anthropic/claude-opus-4.7,constrained_no_light,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,anthropic/claude-opus-4.7,departure_primed,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,anthropic/claude-opus-4.7,detailed_description,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,deepseek/deepseek-v3.2,baseline,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,deepseek/deepseek-v3.2,constrained_ammonia,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,deepseek/deepseek-v3.2,constrained_high_gravity,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,deepseek/deepseek-v3.2,constrained_no_light,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,deepseek/deepseek-v3.2,departure_primed,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,deepseek/deepseek-v3.2,detailed_description,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,google/gemini-3.1-pro-preview,baseline,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,google/gemini-3.1-pro-preview,constrained_ammonia,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,google/gemini-3.1-pro-preview,constrained_high_gravity,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,google/gemini-3.1-pro-preview,constrained_no_light,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,google/gemini-3.1-pro-preview,departure_primed,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,google/gemini-3.1-pro-preview,detailed_description,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,meta-llama/llama-3.1-8b-instruct,baseline,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,meta-llama/llama-3.1-8b-instruct,constrained_ammonia,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,meta-llama/llama-3.1-8b-instruct,constrained_high_gravity,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,meta-llama/llama-3.1-8b-instruct,constrained_no_light,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,meta-llama/llama-3.1-8b-instruct,departure_primed,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,meta-llama/llama-3.1-8b-instruct,detailed_description,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,meta-llama/llama-4-maverick,baseline,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,meta-llama/llama-4-maverick,constrained_ammonia,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,meta-llama/llama-4-maverick,constrained_high_gravity,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,meta-llama/llama-4-maverick,constrained_no_light,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,meta-llama/llama-4-maverick,departure_primed,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,meta-llama/llama-4-maverick,detailed_description,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,mistralai/ministral-14b-2512,baseline,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,mistralai/ministral-14b-2512,constrained_ammonia,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,mistralai/ministral-14b-2512,constrained_high_gravity,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,mistralai/ministral-14b-2512,constrained_no_light,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,mistralai/ministral-14b-2512,departure_primed,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,mistralai/ministral-14b-2512,detailed_description,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,mistralai/mistral-large-2411,baseline,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,mistralai/mistral-large-2411,constrained_ammonia,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,mistralai/mistral-large-2411,constrained_high_gravity,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,mistralai/mistral-large-2411,constrained_no_light,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,mistralai/mistral-large-2411,departure_primed,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,mistralai/mistral-large-2411,detailed_description,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,openai/gpt-5.4,baseline,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,openai/gpt-5.4,constrained_ammonia,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,openai/gpt-5.4,constrained_high_gravity,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,openai/gpt-5.4,constrained_no_light,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,openai/gpt-5.4,departure_primed,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,openai/gpt-5.4,detailed_description,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,qwen/qwen3-235b-a22b,baseline,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,qwen/qwen3-235b-a22b,constrained_ammonia,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,qwen/qwen3-235b-a22b,constrained_high_gravity,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,qwen/qwen3-235b-a22b,constrained_no_light,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,qwen/qwen3-235b-a22b,departure_primed,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,qwen/qwen3-235b-a22b,detailed_description,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,qwen/qwen3-8b,baseline,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,qwen/qwen3-8b,constrained_ammonia,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,qwen/qwen3-8b,constrained_high_gravity,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,qwen/qwen3-8b,constrained_no_light,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,qwen/qwen3-8b,departure_primed,30,0,0,30,1.0,0.0,0.0
anthropic/claude-opus-4.6,qwen/qwen3-8b,detailed_description,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,anthropic/claude-opus-4.7,baseline,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,anthropic/claude-opus-4.7,constrained_ammonia,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,anthropic/claude-opus-4.7,constrained_high_gravity,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,anthropic/claude-opus-4.7,constrained_no_light,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,anthropic/claude-opus-4.7,departure_primed,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,anthropic/claude-opus-4.7,detailed_description,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,deepseek/deepseek-v3.2,baseline,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,deepseek/deepseek-v3.2,constrained_ammonia,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,deepseek/deepseek-v3.2,constrained_high_gravity,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,deepseek/deepseek-v3.2,constrained_no_light,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,deepseek/deepseek-v3.2,departure_primed,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,deepseek/deepseek-v3.2,detailed_description,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,baseline,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,constrained_ammonia,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,constrained_high_gravity,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,constrained_no_light,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,departure_primed,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,detailed_description,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,meta-llama/llama-3.1-8b-instruct,baseline,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,meta-llama/llama-3.1-8b-instruct,constrained_ammonia,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,meta-llama/llama-3.1-8b-instruct,constrained_high_gravity,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,meta-llama/llama-3.1-8b-instruct,constrained_no_light,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,meta-llama/llama-3.1-8b-instruct,departure_primed,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,meta-llama/llama-3.1-8b-instruct,detailed_description,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,meta-llama/llama-4-maverick,baseline,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,meta-llama/llama-4-maverick,constrained_ammonia,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,meta-llama/llama-4-maverick,constrained_high_gravity,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,meta-llama/llama-4-maverick,constrained_no_light,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,meta-llama/llama-4-maverick,departure_primed,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,meta-llama/llama-4-maverick,detailed_description,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,mistralai/ministral-14b-2512,baseline,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,mistralai/ministral-14b-2512,constrained_ammonia,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,mistralai/ministral-14b-2512,constrained_high_gravity,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,mistralai/ministral-14b-2512,constrained_no_light,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,mistralai/ministral-14b-2512,departure_primed,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,mistralai/ministral-14b-2512,detailed_description,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,mistralai/mistral-large-2411,baseline,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,mistralai/mistral-large-2411,constrained_ammonia,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,mistralai/mistral-large-2411,constrained_high_gravity,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,mistralai/mistral-large-2411,constrained_no_light,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,mistralai/mistral-large-2411,departure_primed,30,0,0,30,1.0,0.0,0.0
google/gemini-3.1-pro-preview,mistralai/mistral-large-2411,detailed_description,30,0,0,30,1.0,0.0,0.0
