subject_model,n,mean_ward,ward_ci_lo,ward_ci_hi,mean_ward_per_100,ward_per_100_ci_lo,ward_per_100_ci_hi
anthropic/claude-opus-4.7,180,4.503703703703703,4.101851851851852,4.905555555555556,0.6109501676010486,0.5546815268597092,0.6689954701047548
deepseek/deepseek-v3.2,180,5.7555555555555555,5.394444444444445,6.120370370370369,0.7396652320068745,0.6912631682225321,0.7893291294810697
google/gemini-3.1-pro-preview,180,4.735185185185186,4.377731481481482,5.105555555555555,0.19920673494844088,0.18376548538573376,0.2153619694886155
meta-llama/llama-3.1-8b-instruct,180,4.514814814814814,4.144444444444445,4.8852314814814815,0.5987481476457444,0.548277882419538,0.6489649248273237
meta-llama/llama-4-maverick,180,4.7370370370370365,4.3425462962962955,5.125925925925926,0.621439507173557,0.568590885756706,0.6742700516097778
mistralai/ministral-14b-2512,180,5.1722222222222225,4.812962962962963,5.542592592592592,0.6465277777777778,0.6016203703703704,0.692824074074074
mistralai/mistral-large-2411,180,3.1018518518518516,2.6814351851851854,3.5407407407407403,0.39889599887632365,0.34427346561454614,0.4567879751334347
openai/gpt-5.4,180,3.5722222222222224,3.2055555555555557,3.9574537037037034,0.455534448693333,0.40902739098465923,0.5039751924248693
qwen/qwen3-235b-a22b,180,4.964814814814815,4.57037037037037,5.357407407407407,0.26203829852143495,0.23732191077531906,0.28785405430881206
qwen/qwen3-8b,180,5.174074074074074,4.764814814814815,5.5851851851851855,0.2524674672739977,0.23215509342249982,0.27336072113212784
