group_a,group_b,U,p_raw,p_corrected,rank_biserial_r,r_ci_lo,r_ci_hi,n_a,n_b
baseline,constrained_ammonia,38710.5,0.003048186241650087,0.045722793624751304,0.1397666666666667,0.04709777777777783,0.23197888888888882,300,300
baseline,constrained_high_gravity,73428.5,6.208733113390416e-41,9.313099670085624e-40,-0.6317444444444444,-0.6965669444444443,-0.5630327777777777,300,300
baseline,constrained_no_light,45424.0,0.8418759117503493,1.0,-0.00942222222222222,-0.10113833333333325,0.08285722222222221,300,300
baseline,departure_primed,15012.0,2.6176272324873208e-45,3.926440848730981e-44,0.6664,0.6014997222222221,0.7280111111111112,300,300
baseline,detailed_description,46606.0,0.4494627677012183,1.0,-0.03568888888888888,-0.12674555555555564,0.05770111111111107,300,300
constrained_ammonia,constrained_high_gravity,80277.5,4.639008677359839e-62,6.95851301603976e-61,-0.7839444444444446,-0.8315455555555555,-0.7326777777777778,300,300
constrained_ammonia,constrained_no_light,52152.5,0.0007530339388011739,0.011295509082017608,-0.15894444444444455,-0.2518230555555555,-0.06523166666666662,300,300
constrained_ammonia,departure_primed,17258.0,4.9679580095327393e-39,7.451937014299109e-38,0.6164888888888889,0.5428983333333333,0.6864344444444445,300,300
constrained_ammonia,detailed_description,52995.5,0.00016541112923819758,0.0024811669385729636,-0.17767777777777782,-0.269611111111111,-0.08354138888888892,300,300
constrained_high_gravity,constrained_no_light,15160.0,6.514001304448871e-45,9.771001956673306e-44,0.6631111111111111,0.5971525,0.7234919444444443,300,300
constrained_high_gravity,departure_primed,3006.0,3.7269288974919796e-87,5.59039334623797e-86,0.9332,0.9089755555555555,0.9535555555555556,300,300
constrained_high_gravity,detailed_description,19060.5,2.2479903439219585e-34,3.371985515882938e-33,0.5764333333333334,0.5032763888888888,0.6458338888888888,300,300
constrained_no_light,departure_primed,14807.0,6.608161833266131e-46,9.912242749899196e-45,0.6709555555555555,0.6055091666666667,0.7312891666666667,300,300
constrained_no_light,detailed_description,46810.5,0.3938417265188804,1.0,-0.04023333333333334,-0.13204749999999993,0.05215666666666661,300,300
departure_primed,detailed_description,74721.0,1.5303188609757907e-44,2.295478291463686e-43,-0.6604666666666668,-0.7208694444444446,-0.595198611111111,300,300
