group_a,group_b,U,p_raw,p_corrected,rank_biserial_r,r_ci_lo,r_ci_hi,n_a,n_b
baseline,constrained_ammonia,20.0,0.8078607473908491,1.0,-0.11111111111111116,-0.7777777777777777,0.6111111111111112,6,6
baseline,constrained_high_gravity,31.5,0.03670925799782523,0.5506388699673784,-0.75,-1.0,-0.2777777777777777,6,6
baseline,constrained_no_light,21.0,0.6863110758915425,1.0,-0.16666666666666674,-0.8611111111111112,0.5833333333333333,6,6
baseline,departure_primed,0.0,0.00492203567532315,0.07383053512984725,1.0,1.0,1.0,6,6
baseline,detailed_description,23.5,0.4208928200584241,1.0,-0.3055555555555556,-0.8888888888888888,0.36111111111111116,6,6
constrained_ammonia,constrained_high_gravity,32.0,0.029768442392064092,0.44652663588096136,-0.7777777777777777,-1.0,-0.33333333333333326,6,6
constrained_ammonia,constrained_no_light,23.0,0.4591481427617,1.0,-0.2777777777777777,-0.8611111111111112,0.38888888888888884,6,6
constrained_ammonia,departure_primed,0.0,0.004771821713797114,0.07157732570695671,1.0,1.0,1.0,6,6
constrained_ammonia,detailed_description,23.5,0.4184153016199378,1.0,-0.3055555555555556,-1.0,0.38888888888888884,6,6
constrained_high_gravity,constrained_no_light,4.0,0.029768442392064092,0.44652663588096136,0.7777777777777778,0.16666666666666663,1.0,6,6
constrained_high_gravity,departure_primed,0.0,0.0048466012104884885,0.07269901815732732,1.0,1.0,1.0,6,6
constrained_high_gravity,detailed_description,8.0,0.12620020095760107,1.0,0.5555555555555556,-0.05555555555555558,1.0,6,6
constrained_no_light,departure_primed,0.0,0.004771821713797114,0.07157732570695671,1.0,1.0,1.0,6,6
constrained_no_light,detailed_description,23.5,0.4184153016199378,1.0,-0.3055555555555556,-1.0,0.41666666666666663,6,6
departure_primed,detailed_description,36.0,0.00492203567532315,0.07383053512984725,-1.0,-1.0,-1.0,6,6
