generation_id,subject_model,prompt_variant,completion_tokens,ward_score
001a5fff-8194-4140-a9bf-4d19b561bdf3,meta-llama/llama-4-maverick,constrained_ammonia,800,4.333333333333333
0080e065-0142-44a5-ba93-e6118e163fe6,meta-llama/llama-4-maverick,constrained_no_light,800,6.0
00994f23-28d0-4b6d-9efe-c896ce0ebed5,qwen/qwen3-235b-a22b,baseline,1329,3.0
00aaa0c9-81ab-461a-a0a5-c008b2d86a26,qwen/qwen3-8b,constrained_no_light,3085,5.333333333333333
012accb8-4ce4-4479-aeec-a08eb0addb26,google/gemini-3.1-pro-preview,departure_primed,2326,8.666666666666666
015a2cb2-e433-49d9-bba8-177e61009130,anthropic/claude-opus-4.7,detailed_description,800,9.0
01b2f20b-73d1-4f3a-85ce-a68729d68956,mistralai/ministral-14b-2512,departure_primed,800,7.333333333333333
01d7f457-d710-4968-8b19-acfd6d637e30,meta-llama/llama-3.1-8b-instruct,baseline,800,2.0
01fca3aa-0823-4310-badd-282c833d3844,meta-llama/llama-4-maverick,constrained_high_gravity,800,3.3333333333333335
02056b35-b71d-4c61-82d1-a8247a9be8af,mistralai/mistral-large-2411,departure_primed,800,9.666666666666666
02a4fe8b-8b59-4c7b-83fb-d5419b3326b4,deepseek/deepseek-v3.2,baseline,791,5.666666666666667
02dcb55d-1790-4ef9-a5a0-e112e337b834,meta-llama/llama-3.1-8b-instruct,constrained_high_gravity,701,0.3333333333333333
02dd9348-d8e3-4318-ae4a-fed2455d32ec,google/gemini-3.1-pro-preview,detailed_description,2791,3.0
02e69c93-88e8-45de-ac64-f7f642ac450d,mistralai/ministral-14b-2512,constrained_ammonia,800,6.0
033c499f-2d08-4b03-8fc9-3d8fd6810cb3,deepseek/deepseek-v3.2,baseline,716,6.333333333333333
03424b2f-16d6-4707-8e54-e4b894c0ac90,qwen/qwen3-235b-a22b,departure_primed,1629,8.666666666666666
0376096e-0ef2-436f-810e-22861cf80821,qwen/qwen3-235b-a22b,baseline,1653,5.666666666666667
037a7422-cc3d-49b3-bb57-094a5df998ff,mistralai/ministral-14b-2512,constrained_no_light,800,2.6666666666666665
03ca4608-1928-4736-99dd-fbc8decde3d9,qwen/qwen3-235b-a22b,constrained_no_light,2164,2.3333333333333335
03ce2abd-7f2c-4c38-bdd0-741f4aedcb33,mistralai/mistral-large-2411,baseline,800,0.0
03ddfbe6-ac19-428a-b014-4a44d654baad,mistralai/ministral-14b-2512,departure_primed,800,7.666666666666667
04570284-899e-49f0-a01f-d7b46ca03844,mistralai/mistral-large-2411,detailed_description,800,1.0
046be380-5138-4679-877e-3879a30529c4,qwen/qwen3-235b-a22b,constrained_no_light,2536,2.3333333333333335
04af5aa5-2332-44c7-a5fa-c3f7e1c67383,qwen/qwen3-235b-a22b,baseline,3269,3.6666666666666665
04b8eb0a-6e79-4ce7-913e-3bdbd251f4af,mistralai/ministral-14b-2512,constrained_high_gravity,800,1.0
04bb0108-fdde-4c42-b61e-aa7d7bc9d155,openai/gpt-5.4,baseline,800,2.0
05048e67-4070-40e1-b3ed-e61da0636f57,deepseek/deepseek-v3.2,constrained_no_light,800,6.666666666666667
0520e4f1-f8e8-4f35-a486-e9ae78159084,meta-llama/llama-3.1-8b-instruct,constrained_ammonia,760,6.333333333333333
0533afad-cbc2-4e32-a266-2953b375139b,meta-llama/llama-3.1-8b-instruct,baseline,756,4.333333333333333
05adf399-3d4e-4036-b2a6-7326d5f7e7f2,mistralai/mistral-large-2411,departure_primed,800,7.666666666666667
060a088b-d451-4cdb-af20-6d713c1b0c67,qwen/qwen3-8b,detailed_description,2000,2.6666666666666665
064ba1ea-b59b-40a1-ba42-8958b7192de1,meta-llama/llama-4-maverick,constrained_high_gravity,800,3.0
067cefc8-16a1-44b0-9fe3-c1d18afaaa3f,openai/gpt-5.4,baseline,800,2.6666666666666665
06ef15b4-2852-447c-95db-46104e6adbfc,meta-llama/llama-4-maverick,baseline,768,3.0
070b2d9f-1941-4f7f-acbb-7e1c1263209c,meta-llama/llama-3.1-8b-instruct,departure_primed,794,7.333333333333333
072d6017-f583-43f0-b91a-4034f5a9f28b,mistralai/ministral-14b-2512,constrained_no_light,800,5.0
072dc63a-a6cb-429b-b4ed-704c09186912,meta-llama/llama-4-maverick,baseline,733,4.0
073cec8f-0681-4349-9ac6-a7c141f96a80,qwen/qwen3-8b,baseline,1551,2.3333333333333335
073e4d50-f0c6-4a8b-8247-a85239badb9a,qwen/qwen3-235b-a22b,constrained_high_gravity,2437,1.6666666666666667
079e8fc6-24af-4391-88f9-e067f7bd19f2,mistralai/mistral-large-2411,constrained_no_light,695,1.0
080f7fcf-980e-4f43-854a-9c7f3aa436a5,meta-llama/llama-3.1-8b-instruct,baseline,800,5.666666666666667
082b06c1-fb9f-4f63-ae17-2ff395af412d,qwen/qwen3-235b-a22b,constrained_ammonia,2790,4.0
082b4d50-d7e9-4293-909b-8b19bc0e5fee,qwen/qwen3-8b,constrained_no_light,2335,7.333333333333333
085626e7-b5b0-4dc0-ba4b-3eb9fdb03e17,qwen/qwen3-8b,constrained_no_light,1795,5.666666666666667
08848852-08b8-430a-b592-feb0ab9ff0fe,meta-llama/llama-3.1-8b-instruct,constrained_no_light,697,4.0
0892da9e-8911-4faf-9523-a39494b891d2,deepseek/deepseek-v3.2,constrained_high_gravity,800,0.0
08a9e874-b4db-489f-a98f-76f10cb0afa5,mistralai/mistral-large-2411,departure_primed,800,9.0
08afcb4b-ab11-4ec9-91b7-97847f437859,qwen/qwen3-8b,detailed_description,2768,1.3333333333333333
08d15aac-bd77-498e-b2f3-2773a0fcb2b8,openai/gpt-5.4,constrained_no_light,800,2.3333333333333335
091e305e-37df-40d1-8dd5-902f6945bba5,meta-llama/llama-4-maverick,baseline,659,4.0
0923586d-a46a-4122-aa1c-102fe5146510,openai/gpt-5.4,baseline,800,3.3333333333333335
094a4c33-ffa0-4eba-b3c8-9e455d4b4f75,mistralai/ministral-14b-2512,baseline,800,4.333333333333333
09979b3f-dc44-47c8-aa1a-900f65283112,meta-llama/llama-3.1-8b-instruct,departure_primed,800,7.666666666666667
0998a044-ab34-43fb-a53c-71d8f70d55f8,google/gemini-3.1-pro-preview,baseline,1999,2.3333333333333335
09d92d47-2587-4a37-909a-68b082463a20,qwen/qwen3-8b,constrained_high_gravity,2715,0.3333333333333333
0a0e0892-6ff7-4bc2-89df-700af1245646,qwen/qwen3-235b-a22b,constrained_ammonia,1824,5.0
0a30cab9-80f2-48d3-a7a7-430a27df31a1,mistralai/ministral-14b-2512,constrained_no_light,800,4.666666666666667
0a3c110e-ef4b-49b8-88df-868101c44c97,openai/gpt-5.4,constrained_no_light,694,2.0
0a4b4050-b93e-4344-a2ea-f513ee619fb3,meta-llama/llama-4-maverick,constrained_no_light,800,3.0
0a4e4c83-b888-4524-9dd7-6bceef3f6b63,qwen/qwen3-235b-a22b,constrained_high_gravity,2033,0.6666666666666666
0a5d975c-0090-409e-bdbb-3858d745e26f,openai/gpt-5.4,constrained_ammonia,800,4.0
0aa68912-bee3-47e0-8f82-e29427456c76,meta-llama/llama-4-maverick,constrained_no_light,703,4.333333333333333
0ae2feae-71c9-49f2-9560-1715a6aeca40,deepseek/deepseek-v3.2,constrained_no_light,800,3.0
0b030849-c321-4dc6-b7d1-5e88fcedef4a,meta-llama/llama-4-maverick,departure_primed,689,10.0
0b1a1ead-4585-485f-9db1-62b1b2edc29c,mistralai/mistral-large-2411,departure_primed,678,10.0
0b24b3a0-d81a-4b16-b120-880412aa6168,mistralai/ministral-14b-2512,detailed_description,800,2.3333333333333335
0b7f6692-2a31-492a-8da6-4069be7cf4ea,mistralai/ministral-14b-2512,constrained_high_gravity,800,1.6666666666666667
